State,Plant Name,ORIS Code,Unit Id,On-Line Year,Capacity (MW),Heat Rate (Btu/kWh),FOM (2016$ /kW-yr),VOM (2016 mills/kWh)
Alabama,Browns Ferry,46,2,1975,1268.4,10456,156.1321301,0.086939712
Alabama,Browns Ferry,46,3,1977,1269.6,10456,158.4922535,0.090803699
Tennessee,Sequoyah,6152,1,1981,1152,10456,164.6545402,0.086939712
Tennessee,Sequoyah,6152,2,1982,1125.7,10456,164.1815882,0.086939712
Tennessee,Watts Bar Nuclear Plant,7722,1,1996,1123,10456,200.9095591,0.106259648
Tennessee,Watts Bar Nuclear Plant,7722,2,2016,1122,10456,132.3500618,0.110123635
Alabama,Joseph M Farley,6001,1,1977,874,10456,174.4706133,0.090803699
Alabama,Joseph M Farley,6001,2,1981,883,10456,170.9373834,0.090803699
Georgia,Edwin I Hatch,6051,1,1975,876,10456,193.852373,0.10239566
Georgia,Edwin I Hatch,6051,2,1979,883,10456,197.7750927,0.108191641
Georgia,Vogtle,649,1,1987,1150,10456,182.6614933,0.094667686
Georgia,Vogtle,649,2,1989,1152,10456,176.3137351,0.090803699
Georgia,Vogtle,649,3,2022,1100,10479,123.54017,2.3609
Georgia,Vogtle,649,4,2023,1100,10479,123.54017,2.3609
North Carolina,Brunswick Nuclear,6014,1,1977,938,10456,185.1676754,0.09659968
North Carolina,Brunswick Nuclear,6014,2,1975,932,10456,166.6205369,0.092735692
North Carolina,Harris,6015,1,1987,932,10456,205.896421,0.104327654
North Carolina,McGuire,6038,1,1981,1158,10456,163.0687599,0.083075724
North Carolina,McGuire,6038,2,1984,1157.6,10456,160.0339843,0.079211737
South Carolina,Catawba,6036,1,1985,1160.1,10456,180.3361458,0.092735692
South Carolina,Catawba,6036,2,1986,1150.1,10456,178.7086344,0.092735692
South Carolina,H B Robinson,3251,2,1971,741,10456,278.0865207,0.148763507
South Carolina,Oconee,3265,1,1973,847,10456,167.8747871,0.092735692
South Carolina,Oconee,3265,2,1974,848,10456,172.0942611,0.090803699
South Carolina,Oconee,3265,3,1974,859,10456,174.9505205,0.086939712
South Carolina,V C Summer,6127,1,1984,971,10456,211.6738546,0.113987622
Kansas,Wolf Creek Generating Station,210,1,1985,1175,10456,188.6197615,0.10239566
Nebraska,Cooper Nuclear Station,8036,1,1974,771.5,10456,271.3260888,0.144899519
California,Diablo Canyon,6099,1,1985,1122,10456,176.6568572,0.092735692
California,Diablo Canyon,6099,2,1986,1118,10456,177.5100256,0.09659968
Arizona,Palo Verde,6008,1,1986,1311,10456,152.733367,0.081143731
Arizona,Palo Verde,6008,2,1986,1314,10456,144.2851454,0.069551769
Arizona,Palo Verde,6008,3,1988,1312,10456,149.2627337,0.07534775
Washington,Columbia Generating Station,371,2,1984,1180,10456,180.0672123,0.110123635
