ORIS_Plant_Code,PlantType,cap,OPRNAME,CAPFAC,NAMEPCAP,PLNGENAN,PLNGENOZ,PLNOXAN,PLNOXOZ,PLSO2AN,PLCO2AN,PLCH4AN,PLN2OAN,PLCO2EQA,PLHGAN
126,Combustion Turbine,229.99999999999994,Tucson Electric Power Co,0.252,746.5,"1,648,044","941,422",1656.0,942.0,30.0,991338.0,43076.0,4308.0,992518.0,
126,O/G Steam,422.0,Tucson Electric Power Co,0.252,746.5,"1,648,044","941,422",1656.0,942.0,30.0,991338.0,43076.0,4308.0,992518.0,
127,Coal Steam,650.0,Public Service Co of Oklahoma,0.4125,720.0,"2,601,923","1,472,936",5215.0,2839.0,1779.0,3246276.0,674517.0,98135.0,3269329.0,
130,Coal Steam,2350.0,South Carolina Public Service Authority,0.4,2390.1,"8,375,411","4,057,015",3150.0,1566.0,3538.0,9358804.0,2066816.0,300685.0,9429441.0,
136,Coal Steam,1309.0,Seminole Electric Cooperative Inc,0.2298,3505.0,"7,054,142","3,352,251",2203.0,1095.0,4563.0,7395564.0,1708833.0,248623.0,7453969.0,
141,Combustion Turbine,219.0,Salt River Project,0.0424,613.5,"228,022","187,834",473.0,366.0,1.0,157842.0,6276.0,628.0,158014.0,
141,O/G Steam,407.0,Salt River Project,0.0424,613.5,"228,022","187,834",473.0,366.0,1.0,157842.0,6276.0,628.0,158014.0,
141,Solar PV,0.2,Salt River Project,0.0424,613.5,"228,022","187,834",473.0,366.0,1.0,157842.0,6276.0,628.0,158014.0,
145,Hydro,30.0,Salt River Project,0.0362,129.5,"41,054","47,086",,,,,,,,
145,Pumped Storage,119.0,Salt River Project,0.0362,129.5,"41,054","47,086",,,,,,,,
147,Combined Cycle,254.0,Salt River Project,0.2895,573.7,"1,454,644","666,874",46.0,21.0,3.0,604572.0,23489.0,2349.0,605215.0,
147,Combustion Turbine,165.0,Salt River Project,0.2895,573.7,"1,454,644","666,874",46.0,21.0,3.0,604572.0,23489.0,2349.0,605215.0,
148,Hydro,11.5,Salt River Project,0.0456,63.5,"25,370","24,405",,,,,,,,
148,Pumped Storage,57.3,Salt River Project,0.0456,63.5,"25,370","24,405",,,,,,,,
149,Hydro,36.0,Salt River Project,0.1439,36.0,"45,372","21,802",,,,,,,,
150,Hydro,13.0,Salt River Project,0.0,13.0,(164),(79),,,,,,,,
151,Combustion Turbine,112.0,Modesto Irrigation District,0.0021,142.4,"2,659",975,15.0,5.0,6.0,3358.0,217.0,38.0,3367.0,
152,Hydro,254.8,WAPA-- Western Area Power Administration,0.4631,254.8,"1,033,569","496,640",,,,,,,,
153,Hydro,1312.0,WAPA-- Western Area Power Administration,0.3387,1312.0,"3,892,305","1,743,441",,,,,,,,
154,Hydro,1039.4,WAPA-- Western Area Power Administration,0.239,1039.4,"2,175,715","1,007,558",,,,,,,,
159,Hydro,1.0,Heber Light & Power Company,0.3003,1.5,"3,946","1,896",,,,,,,,
160,Coal Steam,175.0,Arizona Electric Pwr Coop Inc,0.3461,660.7,"2,002,818","1,025,474",1261.0,578.0,85.0,1595756.0,184723.0,25237.0,1601826.0,
160,Combustion Turbine,126.5,Arizona Electric Pwr Coop Inc,0.3461,660.7,"2,002,818","1,025,474",1261.0,578.0,85.0,1595756.0,184723.0,25237.0,1601826.0,
160,O/G Steam,247.0,Arizona Electric Pwr Coop Inc,0.3461,660.7,"2,002,818","1,025,474",1261.0,578.0,85.0,1595756.0,184723.0,25237.0,1601826.0,
161,Hydro,3.3000000000000003,Turlock Irrigation District,0.2728,3.3,"7,887","4,029",,,,,,,,
162,Hydro,1.0,Turlock Irrigation District,0.4764,1.0,"4,173","2,132",,,,,,,,
165,Coal Steam,1040.0,Grand River Dam Authority,0.1452,1734.3,"2,205,674","894,939",336.0,176.0,164.0,1071901.0,68990.0,8504.0,1074030.0,
165,Combined Cycle,516.4000000000001,Grand River Dam Authority,0.1452,1734.3,"2,205,674","894,939",336.0,176.0,164.0,1071901.0,68990.0,8504.0,1074030.0,
165,O/G Steam,490.0,Grand River Dam Authority,0.1452,1734.3,"2,205,674","894,939",336.0,176.0,164.0,1071901.0,68990.0,8504.0,1074030.0,
166,Hydro,62.0,Entergy Arkansas Inc,0.1551,56.0,"76,107","33,667",,,,,,,,
170,O/G Steam,520.0,Entergy Arkansas Inc,0.0194,752.0,"127,495","117,229",191.0,173.0,1.0,104346.0,3746.0,375.0,104448.0,
172,Combustion Turbine,4.800000000000001,Entergy Arkansas Inc,0.0,9.6,0,0,,,,,,,,
174,Hydro,12.0,Entergy Arkansas Inc,0.6674,9.0,"52,620","23,277",,,,,,,,
180,Hydro,0.9,Pacific Gas & Electric Co,0.5177,1.0,"4,535","2,317",,,,,,,,
182,Hydro,128.8,Southwestern Power Administration,0.2668,112.0,"261,746","115,787",,,,,,,,
187,Hydro,40.0,Entergy Arkansas Inc,0.206,68.0,"122,691","54,146",,,,,,,,
187,Pumped Storage,28.0,Entergy Arkansas Inc,0.206,68.0,"122,691","54,146",,,,,,,,
188,Hydro,90.0,Southwestern Power Administration,0.3527,96.0,"296,621","131,214",,,,,,,,
193,Combustion Turbine,7.200000000000001,Southwestern Power Administration,0.0001,7.2,9,4,0.0,0.0,0.0,9.0,1.0,0.0,9.0,
195,Hydro,19.4,Southwestern Electric Power Co,0.3186,25.5,"71,173","31,484",,,,,,,,
196,Hydro,80.0,Southwestern Power Administration,0.4086,80.4,"287,794","127,310",,,,,,,,
197,Hydro,75.0,Entergy Arkansas Inc,0.3526,75.0,"231,668","102,482",,,,,,,,
198,Hydro,370.0,Southwestern Power Administration,0.4796,340.0,"1,428,481","631,909",,,,,,,,
199,Hydro,140.0,Southwestern Power Administration,0.422,160.8,"594,423","262,951",,,,,,,,
201,Combined Cycle,162.0,Southwestern Electric Power Co,0.1573,185.0,"254,918","161,547",93.0,52.0,3.0,141262.0,5240.0,524.0,141405.0,
202,O/G Steam,122.0,Entergy Arkansas Inc,0.0151,120.0,"15,894","13,911",19.0,17.0,5.0,12990.0,435.0,43.0,13002.0,
203,O/G Steam,134.0,Entergy Arkansas Inc,0.0286,136.0,"34,073","27,791",39.0,29.0,15.0,25246.0,960.0,96.0,25273.0,
204,Nuclear,1065.0,Ameren Illinois Company,0.8387,1138.3,"8,363,289","3,373,862",,,,,,,,
210,Nuclear,1175.0,Kansas Gas & Electric Co,0.8328,1267.7,"9,247,734","4,130,208",,,,,,,,
214,Hydro,1.0,Pacific Gas & Electric Co,0.1941,2.0,"3,401","1,737",,,,,,,,
215,Hydro,0.7,Pacific Gas & Electric Co,0.5208,1.4,"6,387","3,263",,,,,,,,
217,Hydro,34.0,Pacific Gas & Electric Co,0.6011,31.0,"163,231","83,381",,,,,,,,
218,Hydro,105.0,Pacific Gas & Electric Co,0.6826,97.2,"581,244","296,908",,,,,,,,
219,Hydro,125.0,Pacific Gas & Electric Co,0.416,117.9,"429,689","216,316",,,,,,,,
220,Hydro,65.0,Pacific Gas & Electric Co,0.2773,66.0,"160,302","81,885",,,,,,,,
221,Hydro,41.0,Pacific Gas & Electric Co,0.3703,40.0,"129,768","66,288",,,,,,,,
222,Hydro,75.0,Pacific Gas & Electric Co,0.2058,73.8,"133,017","67,947",,,,,,,,
223,Hydro,120.0,Pacific Gas & Electric Co,0.6571,117.9,"678,610","319,377",,,,,,,,
225,Hydro,7.0,Pacific Gas & Electric Co,0.5728,7.0,"35,121","17,940",,,,,,,,
227,Hydro,13.0,Pacific Gas & Electric Co,0.3885,12.1,"41,183","21,037",,,,,,,,
231,Hydro,70.0,Pacific Gas & Electric Co,0.5741,73.8,"371,172","189,600",,,,,,,,
232,Hydro,18.5,Pacific Gas & Electric Co,0.3386,18.4,"54,574","27,877",,,,,,,,
233,Hydro,5.7,Pacific Gas & Electric Co,0.3362,5.5,"16,199","8,275",,,,,,,,
235,Hydro,53.99999999999999,Pacific Gas & Electric Co,0.1702,49.2,"73,340","37,463",,,,,,,,
236,Hydro,49.5,Pacific Gas & Electric Co,0.5987,53.1,"278,490","142,257",,,,,,,,
237,Hydro,22.0,Pacific Gas & Electric Co,0.3477,22.0,"67,004","34,227",,,,,,,,
238,Hydro,20.6,Pacific Gas & Electric Co,0.4889,20.0,"85,648","43,750",,,,,,,,
239,Hydro,98.0,Pacific Gas & Electric Co,0.3526,102.5,"316,582","172,564",,,,,,,,
240,Hydro,144.0,Pacific Gas & Electric Co,0.5498,135.0,"650,136","316,694",,,,,,,,
241,Hydro,11.0,Pacific Gas & Electric Co,0.3461,13.6,"41,231","21,061",,,,,,,,
242,Hydro,4.8,Pacific Gas & Electric Co,0.0,5.3,0,0,,,,,,,,
243,Hydro,8.5,Pacific Gas & Electric Co,0.393,10.0,"34,424","17,584",,,,,,,,
244,Hydro,8.5,Pacific Gas & Electric Co,0.4919,10.0,"43,089","22,011",,,,,,,,
246,Combustion Turbine,163.4,Pacific Gas & Electric Co,0.1717,269.4,"405,186","177,448",4681.0,2063.0,6.0,208023.0,7968.0,815.0,208244.0,
248,Hydro,8.0,Pacific Gas & Electric Co,0.0,7.6,0,0,,,,,,,,
249,Hydro,172.0,Pacific Gas & Electric Co,0.4601,168.6,"679,587","270,172",,,,,,,,
250,Hydro,25.2,Pacific Gas & Electric Co,,33.9,,,,,,,,,,
254,Hydro,52.0,Pacific Gas & Electric Co,0.2872,48.6,"122,290","62,468",,,,,,,,
255,Hydro,2.0,Pacific Gas & Electric Co,0.0,2.0,0,0,,,,,,,,
258,Hydro,3.5,Pacific Gas & Electric Co,0.4205,3.4,"12,524","6,397",,,,,,,,
260,Combined Cycle,1020.0,Pacific Gas & Electric Co,0.1921,3102.0,"5,220,833","1,671,390",173.0,60.0,11.0,2136663.0,81311.0,8131.0,2138891.0,
261,Hydro,1.7,Pacific Gas & Electric Co,0.4745,3.6,"14,963","7,643",,,,,,,,
262,Hydro,12.0,Pacific Gas & Electric Co,0.5261,10.2,"47,007","24,012",,,,,,,,
264,Hydro,2.0,Pacific Gas & Electric Co,0.4591,1.6,"6,434","3,287",,,,,,,,
265,Hydro,61.0,Pacific Gas & Electric Co,0.4576,69.2,"277,402","141,701",,,,,,,,
266,Hydro,69.9,Pacific Gas & Electric Co,0.5164,80.1,"362,321","185,079",,,,,,,,
267,Hydro,95.0,Pacific Gas & Electric Co,0.4991,103.4,"452,030","185,533",,,,,,,,
268,Hydro,160.0,Pacific Gas & Electric Co,0.6883,141.6,"853,787","300,536",,,,,,,,
269,Hydro,80.0,Pacific Gas & Electric Co,0.4828,79.2,"334,992","171,119",,,,,,,,
270,Hydro,113.0,Pacific Gas & Electric Co,0.4795,109.8,"461,161","169,753",,,,,,,,
272,Hydro,120.0,Pacific Gas & Electric Co,0.4808,142.8,"601,439","256,849",,,,,,,,
274,Hydro,9.2,Pacific Gas & Electric Co,0.2292,9.4,"18,872","9,640",,,,,,,,
275,Hydro,126.0,Pacific Gas & Electric Co,0.5845,126.0,"645,136","257,186",,,,,,,,
276,Hydro,3.2,Pacific Gas & Electric Co,0.0,2.8,0,0,,,,,,,,
277,Hydro,4.2,Pacific Gas & Electric Co,0.0,4.0,0,0,,,,,,,,
279,Hydro,44.0,Pacific Gas & Electric Co,0.5206,42.0,"191,540","97,842",,,,,,,,
280,Hydro,7.0,Pacific Gas & Electric Co,0.4252,6.7,"24,953","12,746",,,,,,,,
281,Hydro,7.0,Pacific Gas & Electric Co,0.1084,7.0,"6,648","3,396",,,,,,,,
282,Hydro,4.4,Pacific Gas & Electric Co,0.2519,3.7,"8,166","4,171",,,,,,,,
283,Hydro,5.8,Pacific Gas & Electric Co,0.4761,6.6,"27,527","14,061",,,,,,,,
284,Hydro,7.0,Pacific Gas & Electric Co,0.6597,6.0,"34,671","17,710",,,,,,,,
285,Hydro,91.0,Pacific Gas & Electric Co,0.5251,81.9,"376,753","192,451",,,,,,,,
286,Geothermal,644.0,Pacific Gas & Electric Co,0.3902,1273.0,"4,351,429","1,969,209",6.0,3.0,1.0,504243.0,,,504243.0,
287,Hydro,58.0,Pacific Gas & Electric Co,0.5521,52.2,"252,450","128,955",,,,,,,,
289,Hydro,6.4,Pacific Gas & Electric Co,0.0,8.4,0,0,,,,,,,,
290,Hydro,9.0,Pacific Gas & Electric Co,0.6488,8.5,"48,307","24,676",,,,,,,,
291,Hydro,14.5,Pacific Gas & Electric Co,0.6548,13.6,"78,013","39,850",,,,,,,,
292,Hydro,17.2,Pacific Gas & Electric Co,0.4972,16.4,"71,436","36,491",,,,,,,,
293,Hydro,20.0,Pacific Gas & Electric Co,0.4714,12.8,"52,855","26,999",,,,,,,,
294,Hydro,28.0,PacifiCorp,0.49,20.0,"85,841","43,849",,,,,,,,
295,Hydro,34.0,PacifiCorp,0.4591,27.0,"108,585","55,467",,,,,,,,
296,Hydro,1.9000000000000001,PacifiCorp,0.3287,2.1,"6,046","3,088",,,,,,,,
297,Hydro,18.8,PacifiCorp,0.6429,18.0,"101,368","51,780",,,,,,,,
298,Coal Steam,1689.0,CenterPoint Energy,0.5369,1849.8,"8,700,389","4,244,184",7470.0,3492.0,5685.0,9876586.0,2189239.0,318391.0,9951391.0,
299,Geothermal,34.0,PacifiCorp,0.1758,74.8,"115,179","50,026",0.0,0.0,53.0,9018.0,,,9018.0,
314,Hydro,3.8,Imperial Irrigation District,0.2963,4.0,"10,382","5,303",,,,,,,,
316,Hydro,8.5,Los Angeles Department of Water & Power,0.1701,8.5,"12,665","6,469",,,,,,,,
317,Hydro,88.4,Southern California Edison Co,0.4458,88.4,"345,253","176,361",,,,,,,,
318,Hydro,66.6,Southern California Edison Co,0.5655,66.6,"329,937","168,537",,,,,,,,
319,Hydro,173.5,Southern California Edison Co,0.5621,174.5,"859,281","487,422",,,,,,,,
320,Hydro,100.0,Southern California Edison Co,0.5862,100.0,"513,541","291,029",,,,,,,,
321,Hydro,70.8,Southern California Edison Co,0.4322,75.0,"283,942","145,042",,,,,,,,
322,Hydro,100.0,Southern California Edison Co,0.5248,110.0,"505,669","280,121",,,,,,,,
323,Hydro,7.3,Southern California Edison Co,0.5696,7.3,"36,422","18,605",,,,,,,,
324,Hydro,8.399999999999999,Southern California Edison Co,0.4782,8.4,"35,191","17,976",,,,,,,,
325,Hydro,8.2,Southern California Edison Co,0.6892,8.2,"49,504","25,287",,,,,,,,
326,Hydro,3.8,Southern California Edison Co,0.4402,4.5,"17,351","8,863",,,,,,,,
327,Hydro,1.6,Southern California Edison Co,0.7359,1.6,"10,314","5,269",,,,,,,,
328,Hydro,10.6,Southern California Edison Co,0.0,12.0,(216),(110),,,,,,,,
331,O/G Steam,640.0,Southern California Edison Co,,1050.1,,,,,,,,,,
332,Hydro,3.0,Southern California Edison Co,0.1819,3.0,"4,780","2,442",,,,,,,,
336,Hydro,1.8,Southern California Edison Co,0.5287,1.8,"8,336","4,258",,,,,,,,
337,Hydro,2.3,Southern California Edison Co,0.0,2.3,(84),(43),,,,,,,,
338,Hydro,4.5,Southern California Edison Co,0.5218,4.8,"21,939","11,207",,,,,,,,
339,Hydro,40.2,Southern California Edison Co,0.5992,40.3,"211,527","108,051",,,,,,,,
340,Hydro,26.4,Southern California Edison Co,0.7507,26.4,"173,613","88,684",,,,,,,,
341,Combustion Turbine,260.0,Southern California Edison Co,0.0028,587.4,"14,582","5,886",4.0,2.0,0.0,14465.0,553.0,55.0,14481.0,
342,Hydro,3.0,Southern California Edison Co,0.5027,3.0,"13,212","6,749",,,,,,,,
344,Hydro,160.0,Southern California Edison Co,0.3086,190.0,"513,546","406,697",,,,,,,,
345,Combustion Turbine,130.0,Southern California Edison Co,,574.0,,,,,,,,,,
350,O/G Steam,1516.0,Southern California Edison Co,0.0114,1612.0,"160,849","160,738",8.0,8.0,1.0,107536.0,4368.0,437.0,107656.0,
353,Hydro,11.3,Southern California Edison Co,0.263,11.3,"26,036","13,300",,,,,,,,
354,Hydro,10.8,Southern California Edison Co,0.2321,10.8,"21,961","11,218",,,,,,,,
357,Hydro,11.4,Southern California Edison Co,0.4183,13.1,"48,006","24,522",,,,,,,,
358,Combined Cycle,972.0,Southern California Edison Co,0.2973,1167.4,"3,040,688","1,202,222",69.0,27.0,7.0,1339493.0,51888.0,5189.0,1340915.0,
361,Hydro,3.2,Southern California Edison Co,0.0028,3.2,78,40,,,,,,,,
363,Hydro,3.1,Southern California Edison Co,0.1518,3.1,"4,121","2,105",,,,,,,,
365,Hydro,2.6,Southern California Edison Co,0.0,2.6,(117),(60),,,,,,,,
371,Nuclear,1180.0,Bonneville Power Administration,0.8435,1200.0,"8,866,499","2,998,172",,,,,,,,
376,Hydro,27.700000000000003,Pacific Gas & Electric Co,0.8268,23.6,"170,924","87,311",,,,,,,,
377,Combined Cycle,110.0,Los Angeles Department of Water & Power,0.026,353.9,"80,469","44,374",22.0,11.0,0.0,71975.0,2445.0,245.0,72042.0,
377,Combustion Turbine,48.0,Los Angeles Department of Water & Power,0.026,353.9,"80,469","44,374",22.0,11.0,0.0,71975.0,2445.0,245.0,72042.0,
377,Landfill Gas,58.0,Los Angeles Department of Water & Power,0.026,353.9,"80,469","44,374",22.0,11.0,0.0,71975.0,2445.0,245.0,72042.0,
377,O/G Steam,40.0,Los Angeles Department of Water & Power,0.026,353.9,"80,469","44,374",22.0,11.0,0.0,71975.0,2445.0,245.0,72042.0,
378,Hydro,0.7,"ALLETE, Inc.",0.368,1.0,"3,224","1,337",,,,,,,,
380,Hydro,156.8,Pacific Gas & Electric Co,0.4429,156.8,"608,291","329,698",,,,,,,,
381,Hydro,100.0,Pacific Gas & Electric Co,0.3744,100.0,"327,961","179,268",,,,,,,,
382,Hydro,115.5,Pacific Gas & Electric Co,0.4505,115.5,"455,802","248,216",,,,,,,,
384,O/G Steam,1036.0,Commonwealth Edison Co,0.1228,1320.0,"1,419,542","1,147,390",631.0,520.0,8.0,874621.0,32937.0,3294.0,875523.0,
385,Hydro,9.8,Imperial Irrigation District,0.4566,10.0,"40,000","20,433",,,,,,,,
386,Hydro,7.3,Imperial Irrigation District,0.5088,9.2,"41,002","20,944",,,,,,,,
387,Hydro,19.1,Imperial Irrigation District,0.4948,19.6,"84,947","43,392",,,,,,,,
388,Hydro,18.1,Imperial Irrigation District,0.0812,33.0,"23,465","11,986",,,,,,,,
389,Combined Cycle,244.0,Imperial Irrigation District,0.1662,438.3,"638,280","474,001",48.0,41.0,2.0,319840.0,11606.0,1161.0,320158.0,
389,Energy Storage,28.0,Imperial Irrigation District,0.1662,438.3,"638,280","474,001",48.0,41.0,2.0,319840.0,11606.0,1161.0,320158.0,
389,O/G Steam,70.0,Imperial Irrigation District,0.1662,438.3,"638,280","474,001",48.0,41.0,2.0,319840.0,11606.0,1161.0,320158.0,
391,Hydro,3.0,Los Angeles Department of Water & Power,0.0057,3.2,160,82,,,,,,,,
392,Hydro,55.9,Los Angeles Department of Water & Power,0.0131,1682.0,"193,141","103,339",,,,,,,,
392,Pumped Storage,1623.0,Los Angeles Department of Water & Power,0.0131,1682.0,"193,141","103,339",,,,,,,,
393,Hydro,37.5,Los Angeles Department of Water & Power,0.2444,37.5,"80,270","41,003",,,,,,,,
394,Hydro,2.4,Los Angeles Department of Water & Power,0.0733,1.6,"1,028",525,,,,,,,,
396,Hydro,8.6,Los Angeles Department of Water & Power,0.0,10.1,(86),(44),,,,,,,,
397,Hydro,2.0,Los Angeles Department of Water & Power,0.0,2.0,(3),(2),,,,,,,,
398,Hydro,5.0,Los Angeles Department of Water & Power,0.0,5.6,(104),(53),,,,,,,,
399,Combined Cycle,200.0,Los Angeles Department of Water & Power,0.0198,595.1,"103,232","61,015",13.0,7.0,0.0,66565.0,2524.0,252.0,66634.0,
399,Combustion Turbine,237.0,Los Angeles Department of Water & Power,0.0198,595.1,"103,232","61,015",13.0,7.0,0.0,66565.0,2524.0,252.0,66634.0,
400,Combined Cycle,550.0,Los Angeles Department of Water & Power,0.1158,2885.1,"2,926,944","1,543,826",77.0,39.0,7.0,1305507.0,49379.0,4938.0,1306860.0,
400,Combustion Turbine,577.8,Los Angeles Department of Water & Power,0.1158,2885.1,"2,926,944","1,543,826",77.0,39.0,7.0,1305507.0,49379.0,4938.0,1306860.0,
400,O/G Steam,444.0,Los Angeles Department of Water & Power,0.1158,2885.1,"2,926,944","1,543,826",77.0,39.0,7.0,1305507.0,49379.0,4938.0,1306860.0,
